id,tree_type,common_name,botanical_name,height_min,height_max,width_min,width_max,flowering,sun_needs,michigan_suitable,wiegands_status,description,image_url,preferred_soil,fall_color,growth_rate,native_status,moisture_notes,info_source,info_source_url,image_source,image_source_url,photo_note,michigan_native,photo_source_priority,photo_reference_type,photo_fallback_url,size_basis,size_confidence,size_source_name,size_source_url,form,flower_color,bloom_season
11,Oak,Swamp White Oak,Quercus bicolor,45,45,45,45,No,Full Sun;Partial Sun,Yes,Priority candidate - confirm inventory,Native oak tolerant of moist soils.,https://commons.wikimedia.org/wiki/Special:FilePath/Quercus%20rubra%20tree.jpg,Well-drained loam; exact preference varies by oak,"Red, russet, bronze or yellow-brown",Moderate,Mostly native species in this POC,Moderate; varies by species,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Swamp%20White%20Oak%20Quercus%20bicolor,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Swamp%20White%20Oak%20Quercus%20bicolor%20whole%20tree,Michigan species reference,Verified,Michigan State University Extension,https://www.canr.msu.edu/uploads/files/SmartTreeSelections/SwampWhiteOak-AltTrees.pdf,Tree Form,—,—
12,Oak,Chinkapin Oak,Quercus muehlenbergii,40,60,40,60,No,Full Sun,Yes,Confirm inventory,Native oak with rounded crown and good higher-pH tolerance.,https://commons.wikimedia.org/wiki/Special:FilePath/Quercus%20rubra%20tree.jpg,Well-drained loam; exact preference varies by oak,"Red, russet, bronze or yellow-brown",Moderate,Mostly native species in this POC,Moderate; varies by species,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Chinkapin%20Oak%20Quercus%20muehlenbergii,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Chinkapin%20Oak%20Quercus%20muehlenbergii%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,—,—
13,Oak,Northern Red Oak,Quercus rubra,60,75,45,60,No,Full Sun;Partial Sun,Yes,Priority candidate - confirm inventory,Fast-growing native oak with red-russet fall color.,https://commons.wikimedia.org/wiki/Special:FilePath/Quercus%20rubra%20tree.jpg,Well-drained loam; exact preference varies by oak,"Red, russet, bronze or yellow-brown",Moderate,Mostly native species in this POC,Moderate; varies by species,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Northern%20Red%20Oak%20Quercus%20rubra,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Northern%20Red%20Oak%20Quercus%20rubra%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,—,—
14,Oak,Northern Pin Oak,Quercus ellipsoidalis,50,70,40,60,No,Full Sun,Yes,Confirm inventory,Cold-hardy oak suited to northern climates.,https://commons.wikimedia.org/wiki/Special:FilePath/Quercus%20rubra%20tree.jpg,Well-drained loam; exact preference varies by oak,"Red, russet, bronze or yellow-brown",Moderate,Mostly native species in this POC,Moderate; varies by species,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Northern%20Pin%20Oak%20Quercus%20ellipsoidalis,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Northern%20Pin%20Oak%20Quercus%20ellipsoidalis%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,—,—
15,Kentucky Coffeetree,Kentucky Coffeetree,Gymnocladus dioicus,50,70,40,50,No,Full Sun,Yes,Confirm inventory,Bold-textured shade tree with good urban tolerance.,https://commons.wikimedia.org/wiki/Special:FilePath/Gymnocladus%20dioicus%20tree.jpg,"Average, well-drained; adaptable, including clay",Yellow,Moderate,Native species,Moderate; drought tolerant once established,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Kentucky%20Coffeetree%20Gymnocladus%20dioicus,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Kentucky%20Coffeetree%20Gymnocladus%20dioicus%20whole%20tree,Michigan species reference,Verified,Michigan State University Extension,https://msu-prod.dotcmscloud.com/resources/kentucky_coffeetree,Tree Form,—,—
16,Honeylocust,Thornless Honeylocust,Gleditsia triacanthos var. inermis,40,50,30,40,No,Full Sun,Yes,Priority candidate - confirm inventory,Airy shade tree that casts filtered light.,https://commons.wikimedia.org/wiki/Special:FilePath/Gleditsia%20triacanthos%20tree.jpg,"Average, well-drained; adaptable",Yellow,Fast,Native species; landscape cultivars selected,Moderate; drought tolerant once established,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Thornless%20Honeylocust%20Gleditsia%20triacanthos%20var.%20inermis,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Thornless%20Honeylocust%20Gleditsia%20triacanthos%20var.%20inermis%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,—,—
17,Hackberry,Hackberry,Celtis occidentalis,40,60,30,30,No,Full Sun;Partial Sun,Yes,Confirm inventory,Tough native tree adaptable to urban conditions.,https://commons.wikimedia.org/wiki/Special:FilePath/Celtis%20occidentalis%20tree.jpg,"Average, well-drained; highly adaptable",Yellow,Moderate to fast,Native species,Moderate; tolerates drought and occasional wet soil,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Hackberry%20Celtis%20occidentalis,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Hackberry%20Celtis%20occidentalis%20whole%20tree,Michigan species reference,Verified,Michigan State University Extension,https://msu-prod.dotcmscloud.com/resources/hackberry,Tree Form,—,—
18,Linden,American Linden,Tilia americana,50,70,35,50,Yes,Full Sun;Partial Sun,Yes,Confirm inventory,Native shade tree with fragrant early-summer flowers.,https://commons.wikimedia.org/wiki/Special:FilePath/Tilia%20americana%20tree.jpg,"Moist, fertile, well-drained",Yellow,Moderate,Native species for American linden,Moderate,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=American%20Linden%20Tilia%20americana,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=American%20Linden%20Tilia%20americana%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,To verify,To verify
19,Lilac Tree,Japanese Tree Lilac,Syringa reticulata,20,30,15,25,Yes,Full Sun,Yes,Priority candidate - confirm inventory,Naturally tree-form lilac with creamy-white fragrant flowers.,,Well-drained loam; neutral to slightly alkaline,Insignificant to yellow-brown,Moderate,Non-native,Moderate; avoid waterlogged soil,NC State Extension,https://plants.ces.ncsu.edu/plants/syringa-reticulata/,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/plants/syringa-reticulata/,Species reference page with plant photography,No,University/arboretum preferred,Curated exact cultivar/species source,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Japanese%20Tree%20Lilac%20Syringa%20reticulata%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form or Multi-Stem,Creamy white,Late Spring to Early Summer
20,Redbud,Eastern Redbud,Cercis canadensis,20,30,25,35,Yes,Full Sun;Partial Shade,Yes,Priority candidate - confirm inventory,Small tree with vivid pink-purple spring flowers.,https://commons.wikimedia.org/wiki/Special:FilePath/Cercis%20canadensis%20tree.jpg,"Moist, well-drained; adaptable to clay and alkaline soil",Clear yellow to yellow-green,Moderate,Native to Michigan,Moderate; moderately drought tolerant,The Morton Arboretum,https://mortonarb.org/plant-and-protect/trees-and-plants/redbud/,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Eastern%20Redbud%20Cercis%20canadensis,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Eastern%20Redbud%20Cercis%20canadensis%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,Rosy pink,Early to Mid Spring
21,Serviceberry,Serviceberry,Amelanchier spp.,10,20,15,25,Yes,Full Sun;Partial Shade,Yes,Priority candidate - confirm inventory,"Four-season tree with flowers, fruit, and fall color.",,"Moist, well-drained, slightly acidic","Yellow, orange to red",Moderate,Native species/varieties commonly used,Moderate; prefers consistent moisture,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Serviceberry%20Amelanchier%20spp.,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Varies by species,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Serviceberry%20Amelanchier%20spp.%20whole%20tree,Michigan municipal landscape reference,Verified,"City of Novi, Michigan",https://cityofnovi.org/services/public-works/engineering-division/recommended-planting-list/,Tree Form or Multi-Stem,White,Early Spring
22,Crabapple,Flowering Crabapple,Malus spp.,15,25,15,25,Yes,Full Sun,Yes,Priority candidate - confirm inventory,Compact ornamental tree with showy spring bloom.,,Well-drained loam; adaptable,"Yellow to orange, varies by cultivar",Moderate,Mostly cultivated/non-native hybrids,Moderate,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Flowering%20Crabapple%20Malus%20spp.,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Varies by species/cultivar,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Flowering%20Crabapple%20Malus%20spp.%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,Varies by cultivar,Spring
23,Katsura,Katsura Tree,Cercidiphyllum japonicum,40,60,30,40,No,Full Sun;Partial Shade,Yes,Confirm inventory,Elegant shade tree with heart-shaped leaves.,https://commons.wikimedia.org/wiki/Special:FilePath/Cercidiphyllum%20japonicum%20tree.jpg,"Moist, rich, well-drained; slightly acidic",Yellow to apricot-orange,Moderate,Non-native,Prefers consistent moisture,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Katsura%20Tree%20Cercidiphyllum%20japonicum,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Katsura%20Tree%20Cercidiphyllum%20japonicum%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,—,—
24,Tulip Tree,Tulip Tree,Liriodendron tulipifera,70,90,35,50,Yes,Full Sun,Yes,Confirm inventory,Very tall native shade tree with tulip-shaped flowers.,https://commons.wikimedia.org/wiki/Special:FilePath/Liriodendron%20tulipifera%20tree.jpg,"Deep, moist, fertile, well-drained; slightly acidic",Golden yellow,Fast,Native species,Moderate to moist,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Tulip%20Tree%20Liriodendron%20tulipifera,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Tulip%20Tree%20Liriodendron%20tulipifera%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,To verify,To verify
25,Redbud,Forest Pansy Redbud,Cercis canadensis 'Forest Pansy',20,30,25,35,Yes,Full Sun;Partial Shade,Yes,Confirm inventory,Purple-leaved redbud with rosy-pink spring flowers.,https://commons.wikimedia.org/wiki/Special:FilePath/Cercis%20canadensis%20tree.jpg,"Moist, well-drained; adaptable to clay and alkaline soil",Clear yellow to yellow-green,Moderate,Native species,Moderate; moderately drought tolerant,The Morton Arboretum,https://mortonarb.org/plant-and-protect/trees-and-plants/redbud/,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Forest%20Pansy%20Redbud%20Cercis%20canadensis%20%27Forest%20Pansy%27,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Forest%20Pansy%20Redbud%20Cercis%20canadensis%20%27Forest%20Pansy%27%20whole%20tree,Cultivar reference; hardy for Michigan zones,Verified,Missouri Botanical Garden,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?isprofile=&taxonid=245558,Tree Form,Pink to lavender-pink,Early to Mid Spring
26,Redbud,Rising Sun Redbud,Cercis canadensis 'JN2',8,13,8,13,Yes,Full Sun;Partial Shade,Yes,Confirm inventory,Compact redbud with colorful new foliage.,https://commons.wikimedia.org/wiki/Special:FilePath/Cercis%20canadensis%20tree.jpg,"Moist, well-drained; adaptable to clay and alkaline soil",Clear yellow to yellow-green,Moderate,Native species,Moderate; moderately drought tolerant,The Morton Arboretum,https://mortonarb.org/plant-and-protect/trees-and-plants/redbud/,"JC Raulston Arboretum, NC State",https://jcra.ncsu.edu/resources/photographs/plants-results.php?serial=119520,Exact cultivar photo collection — The Rising Sun ('JN2'),Yes,University/arboretum preferred,Curated exact cultivar/species source,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Rising%20Sun%20Redbud%20Cercis%20canadensis%20%27JN2%27%20whole%20tree,Cultivar reference; regional size estimate,Verified,Royal Horticultural Society,https://www.rhs.org.uk/plants/379211/cercis-canadensis-jn2/details,Tree Form,Pink,Early to Mid Spring
27,Hydrangea on Standard,Limelight Hydrangea on Standard,Hydrangea paniculata 'Limelight',6,8,6,8,Yes,Full Sun;Partial Shade,Yes,Confirm inventory,Panicle hydrangea trained as a single-trunk standard with large lime-green flower panicles.,https://commons.wikimedia.org/wiki/Special:FilePath/Hydrangea%20paniculata%20Limelight%206zz.jpg,"Loamy, organic-rich, moist, well-drained",Yellow foliage; flowers age green → white/pink tones,Moderate,Non-native,Prefers consistent moisture; brief drought once established,NC State Extension,https://plants.ces.ncsu.edu/plants/hydrangea-paniculata-limelight/,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/plants/hydrangea-paniculata-limelight/,Exact cultivar reference page; tree-standard form may differ,No,University/arboretum preferred,Curated exact cultivar/species source,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Limelight%20Hydrangea%20on%20Standard%20Hydrangea%20paniculata%20%27Limelight%27%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,Lime green to creamy white; blushes pink,Mid to Late Summer
28,Hydrangea on Standard,Pinky Winky Hydrangea on Standard,Hydrangea paniculata 'Pinky Winky',6,8,6,8,Yes,Full Sun;Partial Shade,Yes,Confirm inventory,Panicle hydrangea trained as a standard with white flowers aging to pink-red.,,"Loamy, organic-rich, moist, well-drained",Yellow; flowers provide stronger fall interest,Moderate,Non-native,Prefers consistent moisture; brief drought once established,NC State Extension,https://plants.ces.ncsu.edu/plants/hydrangea-paniculata-limelight/,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Pinky%20Winky%20Hydrangea%20on%20Standard%20Hydrangea%20paniculata%20%27Pinky%20Winky%27,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Pinky%20Winky%20Hydrangea%20on%20Standard%20Hydrangea%20paniculata%20%27Pinky%20Winky%27%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,White aging to deep pink,Mid to Late Summer
29,Lilac Tree,Ivory Silk Japanese Tree Lilac,Syringa reticulata 'Ivory Silk',20,25,15,20,Yes,Full Sun,Yes,Confirm inventory,Naturally tree-form lilac with creamy-white fragrant flowers.,,Well-drained loam; neutral to slightly alkaline,Insignificant to yellow-brown,Moderate,Non-native,Moderate; avoid waterlogged soil,NC State Extension,https://plants.ces.ncsu.edu/plants/syringa-reticulata/,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Ivory%20Silk%20Japanese%20Tree%20Lilac%20Syringa%20reticulata%20%27Ivory%20Silk%27,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Ivory%20Silk%20Japanese%20Tree%20Lilac%20Syringa%20reticulata%20%27Ivory%20Silk%27%20whole%20tree,Cold-climate cultivar reference,Verified,City of Seattle Urban Forestry,https://cityofseattle.org/trees/trees-for-neighborhoods/past-plantings/ivory-silk-japanese-tree-lilac,Tree Form or Multi-Stem,Creamy white,Late Spring to Early Summer
